"GrLivArea","SalePrice"
"996","185000"
"2295","268000"
"2504","325000"
"2132","316600"
"1728","142600"
"1692","224500"
"1109","139000"
"1477","164500"
"1392","146000"
"1429","253293"
"816","325000"
"1573","369900"
"838","137000"
"1473","143000"
"1582","451950"
"816","140000"
"924","319000"
"1368","194201"
"1647","217500"
"1904","275000"
"1915","220000"
"1494","221000"
"1040","225000"
"3194","359100"
"2153","313000"
"1872","261500"
"630","137500"
"1509","183200"
"1828","314813"
"864","240000"
"980","168500"
"1790","165150"
"1422","153000"
"2080","168500"
"1750","209500"
"1411","139400"
"1056","200000"
"800","93000"
"796","264561"
"1518","274000"
"2704","345000"
"1766","370878"
"1048","155000"
"1839","155000"
"1665","205950"
"1716","191000"
"2113","350000"
"1053","149000"
"1458","167000"
"1935","402000"
"1392","137500"
"2097","423000"
"2380","193500"
"1437","168000"
"1476","173500"
"1208","257500"
"1136","148500"
"1774","109500"
"2046","372500"
"923","159434"
"1291","285000"
"1839","221000"
"1761","227875"
"1419","392000"
"848","755000"
"2519","335000"
"1539","176000"
"616","123500"
"894","196000"
"1800","312500"
"2576","361919"
"1484","213000"
"1824","302000"
"1456","179540"
"729","102776"
"1228","189000"
"1479","165000"
"2554","159500"
"2418","341000"
"1742","275000"
"864","135000"
"1698","320000"
"1680","222000"
"1776","110000"
"1616","236500"
"2031","222500"
"948","163000"
"1040","239900"
"1200","190000"
"1432","142000"
"1349","179000"
"1337","299800"
"2256","265979"
"1720","260400"
"1140","162000"
"1494","275500"
"1026","172500"
"1768","212000"
"1501","290000"
"864","127500"
"1547","337000"
"1494","270000"
"1714","196500"
"1836","538000"
"858","134900"
"1117","114500"
"1973","395000"
"1614","221500"
"2020","144000"
"1253","176000"
"1430","187100"
"1484","161500"
"1652","233000"
"901","187500"
"1145","160200"
"2013","269790"
"1895","194500"
"1285","143500"
"3140","485000"
"1688","200000"
"1456","582933"
"1128","227680"
"980","223500"
"1086","159950"
"1309","181000"
"1044","157900"
"1250","224900"
"1008","271000"
"1052","224000"
"1640","183000"
"1733","225000"
"1489","385000"
"784","189000"
"2126","185000"
"1392","166000"
"1829","237000"
"1144","139950"
"1559","153500"
"1099","144000"
"1482","157500"
"1165","174900"
"1416","171000"
"1775","213000"
"2358","240000"
"848","215000"
"1646","164000"
"1779","170000"
"1026","174000"
"1370","250000"
"1426","189950"
"1097","152000"
"1372","250580"
"1646","248900"
"2320","236000"
"894","200500"
"910","133000"
"1131","303477"
"1040","350000"
"1155","148000"
"1090","187500"
"1593","178000"
"892","328900"
"1712","145000"
"2217","268000"
"924","172500"
"1068","165000"
"1535","140000"
"951","142953"
"2364","611657"
"858","153000"
"1509","240000"
"902","128000"
"1636","255000"
"902","174000"
"2274","154300"
"1015","145000"
"1224","173733"
"480","135000"
"2127","238000"
"1721","201000"
"1316","193000"
"1686","207500"
"2374","285000"
"1788","236500"
"1466","201000"
"1905","320000"
"2069","242000"
"1200","253000"
"1962","244400"
"1728","214000"
"1440","150000"
"1344","137500"
"1144","270000"
"1776","197500"
"864","129000"
"768","172000"
"980","145000"
"1229","132000"
"1337","185000"
"858","272000"
"1548","239000"
"1894","214900"
"1308","160000"
"968","140000"
"1192","173000"
"918","182000"
"2019","167500"
"869","199900"
"894","139000"
"999","336000"
"1266","255900"
"1734","126000"
"1635","395192"
"2030","197000"
"2392","348000"
"1851","187000"
"1718","337500"
"1050","185000"
"1077","206000"
"944","86000"
"1574","232000"
"1504","181000"
"1657","163500"
"1710","240000"
"1271","135000"
"1502","165000"
"1082","227000"
"1504","203000"
"1472","213490"
"1132","194000"
"1248","191000"
"2898","287000"
"1264","293077"
"1376","118000"
"1928","197000"
"2520","310000"
"954","119750"
"1620","315500"
"1344","97000"
"1803","173000"
"1306","262280"
"2524","278000"
"2868","556581"
"1771","115000"
"1302","200141"
"1977","165000"
"1989","255000"
"1364","248000"
"2184","335000"
"1338","213500"
"2337","110500"
"1154","328000"
"1571","178000"
"2521","151400"
"1048","154000"
"1456","159500"
"1240","219500"
"1466","170000"
"848","155900"
"1258","145000"
"1459","192000"
"1498","187500"
"1092","252000"
"1709","197000"
"1040","160000"
"1694","146000"
"936","176432"
"1355","170000"
"1324","157000"
"438","119500"
"1134","159500"
"1302","325000"
"1442","274725"
"1690","280000"
"1658","205000"
"816","134500"
"833","318000"
"1419","184100"
"1601","140000"
"1012","212900"
"960","118000"
"1482","163900"
"1555","259000"
"1959","215000"
"1981","135000"
"2210","239500"
"1600","169000"
"1252","119000"
"1567","196000"
"952","197500"
"2828","424870"
"924","149000"
"1298","180000"
"1111","143000"
"932","149900"
"1811","230000"
"1820","218000"
"1265","230000"
"1580","235128"
"1456","224000"
"894","129000"
"1432","233170"
"1694","245350"
"2108","625000"
"1118","171000"
"1250","200500"
"2345","285000"
"923","119500"
"1343","154900"
"2514","392500"
"4476","745000"
"1572","186700"
"1699","262000"
"1660","195000"
"1622","174000"
"1472","165000"
"1352","176000"
"1863","219210"
"1212","178000"
"864","197900"
"1348","213000"
"1074","271900"
"1056","200000"
"1283","290000"
"1845","189000"
"672","145000"
"999","134500"
"1902","229456"
"912","91500"
"912","134000"
"1846","143000"
"1490","184000"
"1933","214000"
"1702","367294"
"2620","190000"
"1224","142000"
"1964","138887"
"1626","195000"
"1141","265900"
"1768","248328"
"1173","465000"
"1517","230000"
"1553","186500"
"2058","129500"
"2110","244000"
"874","294000"
"1656","165400"
"1987","301500"
"1166","190000"
"1675","181000"
"1788","180500"
"1337","183900"
"1889","378500"
"3447","381000"
"1524","260000"
"935","177000"
"1250","139000"
"1395","197900"
"2031","237000"
"1573","227000"
"1040","150500"
"2447","169000"
"1328","190000"
"1659","281000"
"1152","180500"
"2372","162900"
"864","138500"
"1128","155000"
"5642","160000"
"1983","225000"
"2526","290000"
"1708","325000"
"1368","202500"
"1122","179200"
"1902","335000"
"2810","333168"
"948","206900"
"1630","295493"
"1787","275000"
"1478","156500"
"1923","190000"
"1795","147000"
"774","130500"
"2792","256000"
"1588","227000"
"816","125500"
"1365","167900"
"1656","135000"
"1861","200000"
"872","155000"
"2169","228500"
"1456","155835"
"2156","283463"
"1494","215000"
"2634","200000"
"1176","410000"
"1865","235000"
"892","149900"
"1573","315000"
"2601","260000"
"1738","156932"
"1200","216000"
"1790","193000"
"848","232000"
"1374","165500"
"2097","466500"
"1958","250000"
"790","117000"
"987","167500"
"864","237500"
"1762","157000"
"1258","125500"
"2784","250000"
"1746","377500"
"1525","235000"
"900","163000"
"1500","281213"
"1687","160000"
"1904","138000"
"1158","193000"
"1294","282922"
"1214","275000"
"768","133000"
"1363","215000"
"1840","230000"
"1040","257000"
"1848","207000"
"2290","340000"
"1144","223000"
"1416","179900"
"848","274970"
"1344","144000"
"2127","271000"
"804","182900"
"1838","192140"
"968","186500"
"1126","174000"
"864","394617"
"1236","197000"
"2555","191000"
"2007","310000"
"1422","179600"
"1188","240000"
"1346","112000"
"1792","287090"
"1072","145000"
"1221","185000"
"2073","266500"
"1078","147500"
