"GrLivArea","SalePrice"
"1220","107000"
"1973","395000"
"1614","221500"
"1110","165500"
"2084","233000"
"2087","187500"
"1062","269790"
"1895","194500"
"773","485000"
"1688","582933"
"1128","227680"
"1576","223500"
"1309","181000"
"1008","155000"
"936","225000"
"1489","189000"
"2126","185000"
"1829","237000"
"1067","153500"
"1099","144000"
"1165","174900"
"1701","213000"
"2358","240000"
"1445","170000"
"1481","250000"
"1426","189950"
"1372","250580"
"1949","236000"
"2610","350000"
"1155","157000"
"2230","118500"
"1712","145000"
"2217","268000"
"1068","154500"
"2240","611657"
"1670","240000"
"1063","255000"
"2057","250000"
"1015","145000"
"480","135000"
"2127","238000"
"1617","207500"
"2374","285000"
"1788","236500"
"1466","201000"
"1905","320000"
"2069","253000"
"1962","244400"
"1381","197500"
"1958","272000"
"1894","214900"
"1098","140000"
"918","167500"
"869","199900"
"2612","336000"
"1940","395192"
"1851","187000"
"944","86000"
"1504","181000"
"1657","163500"
"1271","135000"
"1082","176000"
"2898","287000"
"3082","230000"
"954","155000"
"2329","278000"
"2868","556581"
"930","165000"
"1989","255000"
"1364","335000"
"1991","220000"
"2337","110500"
"1154","328000"
"1571","178000"
"2521","151400"
"1240","219500"
"1459","192000"
"1247","197000"
"438","119500"
"2622","325000"
"1690","188000"
"1964","205000"
"1012","118400"
"1005","259000"
"1981","135000"
"2210","117500"
"1020","197500"
"2828","424870"
"1298","180000"
"1811","230000"
"1580","235128"
"1671","235000"
"3627","625000"
"3086","239000"
"1343","154900"
"2514","745000"
"1130","120000"
"1699","262000"
"1804","189000"
"1863","219210"
"1074","271900"
"1283","189000"
"1902","134000"
"1846","143000"
"1490","184000"
"1933","367294"
"1507","190000"
"1190","142000"
"1784","195000"
"1141","170000"
"2076","465000"
"2058","171750"
"874","294000"
"1987","301500"
"1675","181000"
"2018","381000"
"1524","177000"
"1395","169000"
"1659","281000"
"2372","160000"
"1246","225000"
"2526","290000"
"1122","203000"
"2810","333168"
"2112","275000"
"1923","190000"
"774","256000"
"1334","167900"
"1861","200000"
"2169","228500"
"2156","262500"
"3238","410000"
"1078","315000"
"2601","189000"
"1475","127000"
"2633","466500"
"2117","237500"
"2784","377500"
"1584","163000"
"2482","281213"
"1513","137500"
"2093","230000"
"1848","207000"
"2450","340000"
"804","174000"
"1932","394617"
"2555","310000"
"913","129000"
"2073","266500"
